submission_sample_ID,sample_number,sample_year_extract_ID,sample_type,site,gene,year,lake.area.ha,lake.area.m2,elevation,fish,depth.feet,lat,long,water_cat,secchi,surface.temp,air.temp,o2,O2.percent,cond.us.cm,sp.Cond,pH.method,ph.ysi,ph.kit,alkalinity.drops,salinity,tn.mg.l,tp.mg.l,doc.mg,doc.um,chla,Tow depth,tn.umol.L,tp.umol.L
CBW_269_18S,354,2016_17,sierra,Elizabeth,18S,2016,9.8861,9886.1,2897,Y,32,37.8451855,-119.3699099,mid,6,16.8,,,,4.3,,ysi,7.69,NA,,0,6.88,<0.10,,,,1,,
CBW_270_18S,355,2021_06,sierra,Cathedral.2.upper,18S,2021,4.4,4400,2924,Y,11,37.8393589,-119.4155802,,28,19.5,,6.55,71.7,3,3.4,YSI,7.2,,,,0.20532,ND,1,,0.71,,,
CBW_271_18S,356,2017_22b,sierra,Cathedral.1.lower,18S,2017,9.7546,9754.6,2832,Y,36.7,37.8450836,-119.4243486,wet,21,20.2,,,,22.2,,ysi,7.42,,,0,,not being processed bc always below <0.12,,,0.31,,,
CBW_272_18S,357,2017_02,sierra,Serene,18S,2017,1.2,1200,3120,Y,18.1,37.43842,-118.7444485,wet,19,18.3,,,,10.7,,ysi,8.3,,,0.01,,not being processed bc always below <0.5,,,1.08,,,
CBW_273_18S,358,2017_03,sierra,Blue,18S,2017,3.907,3907,3009,Y,35,38.0511336,-119.2703313,wet,25,14.6,,,,,,ysi,7,,,,,not being processed bc always below <0.3,,,,,,
CBW_274_18S,359,2019_06,sierra,Serene ,18S,2019,1.2,1200,3120,Y,18.1,37.43842,-118.7444485,wet,8,19.4,78,,,,,kit,,6.5,4,,,,,,0.89,7,8.07,132.44
CBW_275_18S,360,2019_17,sierra,Spillway ,18S,2019,5.1199,57209,3202,Y,16.4,37.8415211,-119.2324424,wet,,13.3,70,,,,,kit,,6.8,5,,,,,,0.36,3,0.32,14.18
CBW_276_18S,361,2019_03,sierra,PollyDomeOne,18S,2019,6.5243,65243,2652,N,11.5,37.861312,-119.455883,wet,7.9,22,78,,,,,kit,,6,2,,,,,,0.41,2,5.1,192.61
CBW_277_18S,362,2019_18,sierra,Lukens ,18S,2019,4.081,38710,2515,Y,16.4,37.859889,-119.6161365,wet,6,21.1,80,,,,,kit,,6.4,5,,,,,,0.44,5,8.69,150.4
CBW_279_18S,364,2019_05,sierra,Helen ,18S,2019,21.0041,223126,3340,Y,35.1,37.8306612,-119.2287315,,8,14.4,62,,,,,kit,,6.6,,,,,,,0.51,15,1.55,30.5
CBW_280_18S,365,2019_19,sierra,Gardisky ,18S,2019,6.2388,64094,3206,Y,41,37.9562813,-119.2515007,wet,6,16.1,50,,,,,kit,,6.8,8,,,,,,0.74,10,0.61,8.71
CBW_281_18S,366,2019_04,sierra,Gaylor.2.upper,18S,2019,3.8634,40383,3204,Y,16.4,37.9226947,-119.2673837,wet,9,13.9,77,,,,,kit,,6.6,6,,,,,,0.46,8,0.34,11.3
CBW_282_18S,367,2019_13,sierra,Eastern Brook,18S,2019,4.1,4100,3155,N,21,37.4312209,-118.7426259,wet,,19.4,78,,,,,kit,,6.6,5,,,,,,1.46,7,8.18,121.2
